Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;ASN1;Netblock1;Country1;Company1;IP2;ASN2;Netblock2;Country2;Company2;IP3;ASN3;Netblock3;Country3;Company3
armagedomfilmes.biz;84100000;84089820.0;0.09;4.37;330725;41.73;0.39;19.18;2.5;35.28;0.0;0.93;104.24.126.209;13335;104.24.112.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.24.127.209;13335;104.24.112.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
arte.tv;82300000;82300536.0;0.64;3.33;1753989;47.61;0.45;19.36;9.25;22.99;0.21;0.13;212.95.74.37;8839;212.95.64.0/19;FR;SDV-AS 15, rue de la nuee bleue, FR;;;;;;;;;;
attivissimo.blogspot.it;4700000;4700214.0;98.83;1.52;7060736;71.68;0.03;9.34;4.2;14.74;0.0;0.01;172.217.20.129;15169;172.217.0.0/16;US;GOOGLE - Google Inc., US;;;;;;;;;;
atv.com.tr;103300000;103331016.0;0.06;3.88;240554;18.78;0.17;20.46;3.14;57.21;0.0;0.24;185.59.72.133;9121;185.59.72.0/24;TR;TTNET , TR;;;;;;;;;;
azlyrics.com;977800000;977782812.0;1.85;1.64;29665930;6.55;0.04;1.45;0.27;91.6;0.0;0.09;5.79.69.118;60781;5.79.64.0/18;NL;LEASEWEB-NL Netherlands, NL;;;;;;;;;;
b9dm.com;99500000;99504972.0;0.09;3.37;301798;29.97;0.35;61.82;1.31;6.35;0.0;0.2;107.182.233.189;29854;107.182.224.0/20;US;WESTHOST - WestHost, Inc., US;;;;;;;;;;
badtaste.it;9100000;9063030.0;93.3;2.27;19194681;37.97;0.2;6.25;20.69;34.87;0.0;0.02;46.30.247.47;52030;46.30.244.0/22;IT;SERVERPLAN-AS , IT;;;;;;;;;;
bandcamp.com;246200000;246183570.0;1.92;3.1;14652846;35.85;1.17;14.95;20.94;26.88;0.0;0.22;151.101.129.28;54113;151.101.128.0/22;US;FASTLY - Fastly, US;151.101.193.28;54113;151.101.192.0/22;US;FASTLY - Fastly, US;151.101.1.28;54113;151.101.0.0/22;US;FASTLY - Fastly, US
bastardidentro.it;7300000;7333830.0;93.32;4.09;27991674;13.28;12.09;3.43;65.81;5.38;0.0;0.0;104.27.189.247;13335;104.27.176.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.27.188.247;13335;104.27.176.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
behance.net;280700000;280653384.0;2.16;6.02;36493920;34.25;2.54;28.42;12.66;21.95;0.0;0.18;74.205.63.94;33070;74.205.32.0/19;US;RMH-14 - Rackspace Hosting, US;;;;;;;;;;
bfmtv.com;173700000;173700726.0;0.21;3.3;1203746;27.67;0.63;12.65;27.3;30.39;0.0;1.36;5.196.140.245;16276;5.196.0.0/16;FR;OVH , FR;5.39.60.82;16276;5.39.0.0/17;FR;OVH , FR;5.196.140.244;16276;5.196.0.0/16;FR;OVH , FR
bigcinema.tv;229200000;229176288.0;0.35;2.06;1652361;32.01;0.42;15.29;2.42;49.73;0.0;0.13;78.108.183.161;62160;78.108.176.0/20;CZ;GM-AS , CZ;;;;;;;;;;
bitchyf.it;8000000;7978908.0;87.43;3.33;23229944;43.24;0.68;5.45;31.93;18.69;0.0;0.02;85.234.146.73;29550;85.234.128.0/19;GB;SIMPLYTRANSIT , GB;;;;;;;;;;
boxofficemojo.com;72900000;72885810.0;1.34;4.66;4551281;57.91;0.29;12.79;2.93;26.08;0.0;0.01;207.171.166.22;16509;207.171.160.0/20;US;AMAZON-02 - Amazon.com, Inc., US;72.21.206.80;16509;72.21.192.0/19;US;AMAZON-02 - Amazon.com, Inc., US;72.21.210.29;16509;72.21.192.0/19;US;AMAZON-02 - Amazon.com, Inc., US
bs.to;300200000;300231156.0;0.73;5.06;11089938;44.74;0.16;43.88;1.52;8.84;0.0;0.85;186.2.163.124;262254;186.2.163.0/24;BZ;DANCOM LTD, BZ;;;;;;;;;;
bttiantang.com;104900000;104885730.0;0.07;4.35;319377;57.32;0.16;14.32;0.47;27.67;0.0;0.06;162.159.208.61;13335;162.159.208.0/24;US;CLOUDFLARENET - CloudFlare, Inc., US;162.159.209.61;13335;162.159.209.0/24;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
caffeinamagazine.it;9500000;9492066.0;93.11;3.29;29077226;4.6;0.2;4.44;70.07;20.52;0.0;0.17;62.149.128.157;31034;62.149.128.0/19;IT;ARUBA-ASN , IT;54.76.24.42;16509;54.76.0.0/15;US;AMAZON-02 - Amazon.com, Inc., US;62.149.128.151;31034;62.149.128.0/19;IT;ARUBA-ASN , IT
calciatoribrutti.com;3900000;3939780.0;90.45;4.33;15430089;8.93;0.26;2.99;81.43;5.91;0.2;0.29;138.201.56.219;24940;138.201.0.0/16;DE;HETZNER-AS , DE;;;;;;;;;;
canalplus.fr;87000000;87043218.0;0.34;2.44;722110;45.19;0.43;12.77;8.64;30.19;1.65;1.13;194.4.244.50;12566;194.4.244.0/23;FR;SFR-BUSINESS-TEAM SFR Business Team, FR;;;;;;;;;;
cbs.com;178500000;178542720.0;0.37;2.94;1942187;35.77;1.35;21.48;15.96;23.18;1.22;1.04;64.30.228.50;6623;64.30.228.0/23;US;CBSI-1 - CBS Interactive Inc., US;64.30.228.49;6623;64.30.228.0/23;US;CBSI-1 - CBS Interactive Inc., US;;;;;
cc.com;118900000;118915734.0;0.56;3.19;2124310;38.42;0.77;13.73;19.05;27.59;0.26;0.18;69.58.186.114;30060;69.58.176.0/20;US;VERISIGN-ILG1 - VeriSign Infrastructure & Operations, US;;;;;;;;;;
cda.pl;476300000;476309772.0;0.13;3.52;2179593;25.63;0.27;22.85;1.87;49.27;0.0;0.11;104.20.12.130;13335;104.20.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.11.130;13335;104.20.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
ceskatelevize.cz;81000000;81030318.0;0.08;3.27;211975;44.21;0.58;18.68;9.87;26.61;0.0;0.05;212.47.2.209;5588;212.47.0.0/19;CZ;GTSCE GTS Central Europe / Antel Germany, CZ;;;;;;;;;;
channel4.com;100700000;100738068.0;0.23;3.01;697409;35.53;0.66;19.31;3.38;41.09;0.01;0.02;83.98.28.10;30914;83.98.28.0/24;GB;IOKO-AS , GB;;;;;;;;;;
cima4u.tv;82900000;82902468.0;0.47;5.07;1975482;41.22;0.14;24.69;3.01;30.14;0.0;0.8;104.25.51.117;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.52.117;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
cineblog01hd.net;4900000;4891968.0;93.52;2.92;13358907;36.7;0.29;59.82;0.57;2.19;0.0;0.43;104.28.26.38;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.27.38;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
cinecalidad.com;64700000;64670598.0;0.16;4.92;509086;62.2;0.14;9.28;1.3;25.43;0.0;1.66;104.27.148.191;13335;104.27.144.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.27.149.191;13335;104.27.144.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
cinefilmesonline.net;47200000;47200458.0;0.06;3.28;92890;23.37;0.26;14.72;1.39;59.53;0.0;0.73;104.24.113.166;13335;104.24.112.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.24.112.166;13335;104.24.112.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
cinemablend.com;220500000;220483542.0;0.63;2.07;2875325;21.98;0.22;3.65;13.09;61.01;0.0;0.04;104.16.58.105;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.16.61.105;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
cinematrix.net;51400000;51440664.0;0.74;2.06;784161;6.78;0.13;73.0;0.98;0.67;0.0;18.44;104.24.6.60;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.24.7.60;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
comingsoon.it;32100000;32124348.0;94.73;2.46;74861231;18.75;0.21;13.79;5.39;59.67;1.58;0.62;46.37.7.87;31034;46.37.0.0/19;IT;ARUBA-ASN , IT;;;;;;;;;;
crunchyroll.com;221100000;221104812.0;0.76;3.73;6267879;44.91;0.98;27.88;8.28;17.29;0.53;0.13;104.20.18.239;13335;104.20.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.19.239;13335;104.20.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
dailymotion.com;2400000000;2379124014.0;2.12;2.89;145764170;17.99;0.31;27.11;7.59;46.4;0.0;0.61;195.8.215.136;41690;195.8.214.0/23;FR;DAILYMOTION For peering related business, please mail peering@dailymotion.com, FR;;;;;;;;;;
dardarkom.com;50500000;50544168.0;0.51;4.02;1036256;36.66;0.1;14.18;2.7;44.96;0.0;1.4;104.18.40.62;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.41.62;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
ddlvillage.org;8600000;8587758.0;94.82;5.78;47066032;71.4;1.1;21.91;1.2;4.37;0.0;0.02;185.63.252.202;133229;185.63.252.0/22;IN;HOSTPALACE-AS HostPalace Network Services, IN;;;;;;;;;;
deejay.it;23300000;23320140.0;90.29;2.1;44217084;38.53;0.88;9.09;30.22;21.07;0.0;0.21;52.19.91.183;16509;52.18.0.0/15;US;AMAZON-02 - Amazon.com, Inc., US;52.19.87.98;16509;52.18.0.0/15;US;AMAZON-02 - Amazon.com, Inc., US;;;;;
deezer.com;297200000;297169932.0;1.7;4.42;22329348;71.58;0.42;7.71;2.8;17.32;0.09;0.07;78.40.123.183;39605;78.40.120.0/21;FR;IGUANESOLUTIONS , FR;78.40.123.182;39605;78.40.120.0/21;FR;IGUANESOLUTIONS , FR;;;;;
deviantart.com;1100000000;1133546148.0;1.67;14.25;269755644;47.71;0.57;17.7;11.62;21.83;0.0;0.56;54.230.25.150;16509;54.230.24.0/22;US;AMAZON-02 - Amazon.com, Inc., US;54.230.25.134;16509;54.230.24.0/22;US;AMAZON-02 - Amazon.com, Inc., US;54.230.25.22;16509;54.230.24.0/22;US;AMAZON-02 - Amazon.com, Inc., US
deviantart.net;325100000;325099002.0;1.6;1.97;10247120;19.95;0.02;13.56;16.13;50.23;0.0;0.1;52.40.138.0;16509;52.40.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;52.27.162.29;16509;52.24.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;;;;;
discogs.com;209300000;209295918.0;3.65;9.93;75858258;36.2;0.91;16.12;2.47;44.29;0.0;0.02;216.151.17.130;14380;216.151.0.0/19;US;OPUS-INTERACTIVE - Opus Interactive, US;;;;;;;;;;
divxtotal.com;122200000;122204196.0;0.11;4.62;621041;69.31;0.26;8.12;0.36;21.6;0.0;0.35;188.95.248.35;197518;188.95.248.0/21;ES;RACKMARKT , ES;;;;;;;;;;
dizibox.com;159200000;159201858.0;0.08;2.82;359159;52.08;0.45;25.99;1.95;19.44;0.0;0.09;104.24.3.2;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.24.2.2;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
dizipub.com;103300000;103289898.0;0.03;2.79;86453;32.71;0.33;33.76;1.8;30.3;0.0;1.1;104.20.56.21;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.55.21;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
doramatv.ru;67900000;67864242.0;0.17;4.41;508778;24.27;0.76;49.02;6.52;19.32;0.0;0.1;91.121.156.147;16276;91.121.0.0/16;FR;OVH , FR;;;;;;;;;;
download.televisionfanatic.com;126700000;126725472.0;1.23;1.32;2057514;29.28;0.15;21.21;1.05;2.51;1.12;44.67;74.113.235.138;14829;74.113.235.0/24;US;ASN-IWON - Mindspark Interactive Network, Inc., US;;;;;;;;;;
dplay.com;12100000;12139482.0;95.3;2.75;31814547;22.48;0.58;45.71;4.55;24.5;0.0;2.18;185.26.230.129;34922;185.26.230.0/24;GB;NETNAMES , GB;;;;;;;;;;
dr.dk;114200000;114223128.0;0.13;4.46;662265;63.69;0.7;18.01;8.13;9.46;0.0;0.01;159.20.6.38;29266;159.20.0.0/21;DK;DANMARKS-RADIO-AS Danmarks Radio, DK;;;;;;;;;;
dramafever.com;128600000;128558502.0;0.01;2.81;0;29.58;1.4;37.23;10.1;20.8;0.58;0.31;54.209.135.220;14618;54.208.0.0/15;US;AMAZON-AES - Amazon.com, Inc., US;52.2.252.224;14618;52.2.0.0/15;US;AMAZON-AES - Amazon.com, Inc., US;54.164.236.11;14618;54.164.0.0/15;US;AMAZON-AES - Amazon.com, Inc., US
dreamstime.com;152400000;152431608.0;2.83;3.23;13933620;21.01;0.39;5.61;1.34;69.5;1.49;0.66;50.23.192.82;36351;50.23.192.0/18;US;SOFTLAYER - SoftLayer Technologies Inc., US;;;;;;;;;;
el7l.co;46200000;46238052.0;0.32;3.95;584448;29.57;0.09;15.4;2.51;50.39;0.0;2.03;50.63.202.5;26496;50.63.202.0/24;US;AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US;;;;;;;;;;
eonline.com;312500000;312541356.0;0.49;2.59;3966462;21.15;0.36;6.79;22.16;48.37;0.01;1.15;70.39.36.220;17060;70.39.36.0/22;US;E-NETWORKS - NBCUniversal, US;;;;;;;;;;
eurostreaming.tv;95800000;95846754.0;92.81;2.48;220609323;43.82;0.37;11.82;1.07;42.65;0.0;0.27;104.20.85.130;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.84.130;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
fandango.com;263800000;263763360.0;0.12;3.95;1250238;28.35;2.03;13.91;1.78;52.67;0.7;0.54;204.74.99.100;12008;204.74.99.0/24;US;ULTRADNS - NeuStar, Inc., US;;;;;;;;;;
fastwebnet.it;9100000;9109302.0;97.39;7.18;63697723;23.03;0.9;73.41;0.74;1.8;0.0;0.12;;;;;;;;;;;;;;;
film.interia.pl;38200000;38171802.0;0.06;2.25;51531;2.37;0.11;95.15;0.67;1.61;0.0;0.09;217.74.71.147;16138;217.74.68.0/22;PL;INTERIAPL , PL;;;;;;;;;;
film.onet.pl;107200000;107227554.0;0.14;3.66;549433;2.01;0.12;89.27;2.46;6.1;0.0;0.04;213.180.141.158;12990;213.180.141.0/24;PL;ONET-PL-AS1 Onet.pl portal network, PL;;;;;;;;;;
film.qq.com;49900000;49909092.0;0.03;2.39;35784;13.79;0.05;77.3;0.37;8.48;0.01;0.0;203.205.151.227;132203;203.205.151.0/24;CN;TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN;203.205.151.212;132203;203.205.151.0/24;CN;TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN;203.205.151.211;132203;203.205.151.0/24;CN;TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
film.wp.pl;84800000;84815304.0;0.11;3.9;363857;1.72;0.12;91.8;1.69;4.63;0.0;0.04;212.77.99.3;12827;212.77.99.0/24;PL;WIRTUALNAPOLSKA GDANSK, Poland, PL;;;;;;;;;;
filmaffinity.com;106300000;106291392.0;0.25;3.89;1033683;32.89;0.33;10.78;1.27;54.62;0.0;0.12;82.98.141.148;42612;82.98.128.0/18;ES;DINAHOSTING-AS , ES;;;;;;;;;;
filmesonlinegratis.net;311900000;311860086.0;0.12;5.05;1889872;39.97;0.24;19.45;1.92;37.39;0.0;1.02;104.20.23.105;13335;104.20.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.22.105;13335;104.20.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
filmesonlinehd1.com;63700000;63670080.0;0.2;3.98;506813;30.44;0.18;12.92;1.9;53.94;0.0;0.63;104.24.123.177;13335;104.24.112.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.24.122.177;13335;104.24.112.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
filmesonlinex.net;71800000;71833104.0;0.04;4.14;118955;40.52;0.17;13.58;1.7;43.56;0.0;0.48;93.158.212.6;50673;93.158.208.0/20;NL;SERVERIUS-AS , NL;;;;;;;;;;
filmfanatic.com;117500000;117542646.0;2.29;1.28;3445410;18.22;0.14;24.36;0.9;1.77;0.55;54.07;74.113.233.64;14829;74.113.232.0/23;US;ASN-IWON - Mindspark Interactive Network, Inc., US;;;;;;;;;;
filmibeat.com;68600000;68557338.0;0.01;6.78;0;6.73;1.02;55.7;6.66;29.54;0.0;0.34;198.72.116.208;32613;198.72.96.0/19;CA;IWEB-AS - iWeb Technologies Inc., CA;;;;;;;;;;
filmifullizle.org;105800000;105835608.0;0.01;6.01;0;25.85;0.18;15.15;0.93;57.46;0.0;0.42;95.130.173.170;43260;95.130.173.0/24;TR;DGN , TR;95.130.173.171;43260;95.130.173.0/24;TR;DGN , TR;;;;;
filmitorrent.org;79900000;79917588.0;0.24;4.63;888044;37.13;0.53;10.03;1.2;51.07;0.0;0.05;5.45.77.37;50673;5.45.76.0/22;RU;SERVERIUS-AS , NL;;;;;;;;;;
filmix.net;140100000;140101398.0;0.89;4.13;5149707;53.59;0.65;26.75;2.94;16.02;0.0;0.05;185.48.56.24;62088;185.48.56.0/22;GB;SINARO-AS , DE;;;;;;;;;;
filmsenzalimiti.co;56600000;56588670.0;91.77;4.42;229536887;18.73;0.12;37.41;0.44;41.34;0.0;1.96;104.28.14.36;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.15.36;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
filmstarts.de;58300000;58282788.0;0.54;3.51;1104691;31.58;0.05;4.37;7.75;56.14;0.01;0.09;62.39.143.50;199528;62.39.143.0/24;FR;ALCINE-AS , FR;;;;;;;;;;
filmstreamvk.com;43200000;43222680.0;0.29;2.97;372276;23.33;0.49;25.06;1.44;49.1;0.0;0.59;104.18.33.13;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.32.13;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
filmtv.it;18600000;18590106.0;94.06;2.84;49659824;27.2;0.36;36.87;0.47;34.99;0.0;0.12;151.1.175.125;3242;151.1.128.0/18;IT;ASN-ITNET , IT;;;;;;;;;;
filmweb.pl;356600000;356584122.0;0.15;6.85;3663901;37.83;0.54;10.9;3.26;47.43;0.01;0.03;193.200.227.13;43091;193.200.227.0/24;PL;EFIGENCE-AS , PL;;;;;;;;;;
fiscoetasse.com;5600000;5615460.0;98.14;1.61;8872730;10.15;4.38;2.76;1.41;81.21;0.07;0.02;213.92.122.98;3313;213.92.64.0/18;IT;INET-AS , IT;;;;;;;;;;
fizrukoff.net;21100000;21124494.0;0.45;3.25;308945;12.88;0.52;22.03;3.22;61.06;0.0;0.29;104.18.55.77;13335;104.18.48.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.54.77;13335;104.18.48.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
flickr.com;926600000;926569266.0;2.74;14.54;369141489;40.11;1.91;24.08;14.08;19.56;0.0;0.26;69.147.76.173;26101;69.147.72.0/21;US;YAHOO-3 - Yahoo!, US;;;;;;;;;;
freepik.com;204900000;204943014.0;2.18;8.76;39137557;31.67;1.86;20.13;2.09;44.16;0.0;0.09;178.33.44.27;16276;178.32.0.0/15;FR;OVH , FR;;;;;;;;;;
fs.to;172500000;172512930.0;0.04;5.67;391259;44.65;0.98;39.8;4.98;9.55;0.0;0.04;91.226.97.14;197812;91.226.97.0/24;RU;ASFERAZKO , RU;;;;;;;;;;
gfycat.com;661200000;661170282.0;0.62;2.59;10617072;12.68;0.12;3.78;82.32;0.62;0.0;0.49;104.16.116.165;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.16.115.165;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.16.113.165;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US
giga.de;163400000;163406412.0;0.55;2.03;1824432;22.08;0.05;2.76;5.76;69.29;0.01;0.05;80.86.80.168;8972;80.86.80.0/20;DE;PLUSSERVER-AS , DE;80.86.80.169;8972;80.86.80.0/20;DE;PLUSSERVER-AS , DE;80.86.80.170;8972;80.86.80.0/20;DE;PLUSSERVER-AS , DE
giphy.com;811700000;811692012.0;2.43;2.24;44182019;16.53;0.36;5.72;60.61;16.72;0.01;0.05;104.16.11.250;13335;104.16.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;;;;;;
glaz.tv;136600000;136608396.0;0.38;3.04;1578100;29.3;1.41;37.15;4.7;27.35;0.01;0.06;93.114.45.124;3223;93.114.45.0/24;RO;VOXILITY , RO;;;;;;;;;;
